"pPostcode","pCity","pState","pCountryCode"
"01000","Kangar","Perlis","MY"
"01007","Kangar","Perlis","MY"
"01009","Kangar","Perlis","MY"
"01500","Kangar","Perlis","MY"
"01502","Kangar","Perlis","MY"
"01503","Kangar","Perlis","MY"
"01504","Kangar","Perlis","MY"
"01505","Kangar","Perlis","MY"
"01506","Kangar","Perlis","MY"
"01508","Kangar","Perlis","MY"
"01512","Kangar","Perlis","MY"
"01514","Kangar","Perlis","MY"
"01516","Kangar","Perlis","MY"
"01517","Kangar","Perlis","MY"
"01518","Kangar","Perlis","MY"
"01524","Kangar","Perlis","MY"
"01529","Kangar","Perlis","MY"
"01532","Kangar","Perlis","MY"
"01538","Kangar","Perlis","MY"
"01540","Kangar","Perlis","MY"
"01546","Kangar","Perlis","MY"
"01550","Kangar","Perlis","MY"
"01551","Kangar","Perlis","MY"
"01556","Kangar","Perlis","MY"
"01560","Kangar","Perlis","MY"
"01564","Kangar","Perlis","MY"
"01570","Kangar","Perlis","MY"
"01572","Kangar","Perlis","MY"
"01576","Kangar","Perlis","MY"
"01578","Kangar","Perlis","MY"
"01582","Kangar","Perlis","MY"
"01586","Kangar","Perlis","MY"
"01590","Kangar","Perlis","MY"
"01592","Kangar","Perlis","MY"
"01594","Kangar","Perlis","MY"
"01596","Kangar","Perlis","MY"
"01598","Kangar","Perlis","MY"
"01600","Kangar","Perlis","MY"
"01604","Kangar","Perlis","MY"
"01606","Kangar","Perlis","MY"
"01608","Kangar","Perlis","MY"
"01609","Kangar","Perlis","MY"
"01610","Kangar","Perlis","MY"
"01612","Kangar","Perlis","MY"
"01614","Kangar","Perlis","MY"
"01620","Kangar","Perlis","MY"
"01622","Kangar","Perlis","MY"
"01626","Kangar","Perlis","MY"
"01628","Kangar","Perlis","MY"
"01630","Kangar","Perlis","MY"
"01632","Kangar","Perlis","MY"
"01634","Kangar","Perlis","MY"
"01644","Kangar","Perlis","MY"
"01646","Kangar","Perlis","MY"
"01648","Kangar","Perlis","MY"
"01660","Kangar","Perlis","MY"
"01664","Kangar","Perlis","MY"
"01670","Kangar","Perlis","MY"
"01672","Kangar","Perlis","MY"
"01673","Kangar","Perlis","MY"
"01674","Kangar","Perlis","MY"
"01676","Kangar","Perlis","MY"
"01680","Kangar","Perlis","MY"
"01694","Kangar","Perlis","MY"
"02000","Kuala Perlis","Perlis","MY"
"02100","Padang Besar","Perlis","MY"
"02200","Kaki Bukit","Perlis","MY"
"02400","Kangar","Perlis","MY"
"02450","Kangar","Perlis","MY"
"02500","Kangar","Perlis","MY"
"02600","Arau","Perlis","MY"
"02607","Arau","Perlis","MY"
"02609","Arau","Perlis","MY"
"02700","Simpang Ampat","Perlis","MY"
"02707","Simpang Ampat","Perlis","MY"
